"drug","formulary_drug_cd"
"Albuterol","COMB14.7H"
"Enbrel","ENBR25I"
"Erythromycin opthalmic",NULL
"NEO*IV*Penicillin G Potassium","NPENI"
"Hepatitis B Immune Globulin (Nabi-HB)","HBIG5I"
"BENICAR HCT",NULL
"Ropivacaine 0.2%","ROPI0.2CADDB"
"NEO*PO*Lorazepam Oral Concentrate","NEOLORAZL"
"Stavudine","STAV40"
"MEMAntine","MEMA5"
"Salagen","PILO5"
"Amphotericin B Oral Solution","AMPOBORAL"
"Dilantin (phenytoin sodium ER)",NULL
"Folplex 2.2",NULL
"Iquix",NULL
"Bupropion HCl","BUPR150"
"Dilantin","PHENY100"
"Metoclopramide","METO10"
"PROPOFOL (*GENERIC*)","PROP100IG"
"Prednisolone Acetate",NULL
"CefTAZidime Desensitization","CEFT1000DES"
"Sulfacetamide-Prednisolone Ophth. Oint.","SULF10EO"
"Insulin Levemir",NULL
"Erythro","EMYC200L"
"Atropine Sulfate","ATRO4I"
"Syringe (Neonatal)","NEOSYR1ML"
"Didanosine","DIDA100"
"Namenda","MEMA10"
"Send 500mg Vial","AMPVL"
"GLIMEPIRIDE (AMARYL)",NULL
"Chloral Hydrate","CHLO500L"
"Methadon","METH10L"
"Lansoprazole ","LANS15L"
"Penicillin V Potassium","PCN250S"
"*NF* VYTONE CREAM",NULL
"irbesartan","IRBE150"
"Divalproex ","DIVA125"
"Diphenhydramine HCl 2%",NULL
"lacrilube",NULL
"Tenofovir Disoproxil Fumarate","TENO300"
"methylphenidate SR ",NULL
"Morphine Sul","MOR10L"
"Fluphenazine Decanoate","FLUP125I"
"CefazoLIN Desensitization","CEFA1000I"
"Morphine Sulfate","MORP2I"
"Nexium",NULL
"Haloperidol","HALO50I"
"Iron Dextran (Test Dose)","IRON25I"
"Temazepam",NULL
"Cilostaz","CILOS100"
"MIDAZOLAM","MIDA2I"
"Epin","EPI1I"
"tolt","TOLT1"
"Peramivir","PERA200I"
"Metoprolol Tartrate","METOSUSP"
"Vi-Daylin Multivitamin Drops","NEOVIDAYLIN"
"Emtricitabine Oral Solution","EMTR10L"
"Penicillin G Benzathine","PCNGB600I"
"Lansoprazole Oral Suspension","LANS30"
"Famotidine","FAMO20I"
"Morphine Sulfate (Oral Soln.)","MORPCONC"
"megest","MEGE200L"
"Intralipid/Liposyn III (Plastic)","LIPIDSTUDYP"
"Fluvastatin Sodium","FLUV20"
"Salagen",NULL
"Travatan Z",NULL
"HCTZ/Triamterene (Maxzide)",NULL
"Octreotide ","OCTR50I"
"DYGASE",NULL
"Insulin Lispro Desensitization Protocol","HUMU100I"
"MYCOPHENOLATE MOFETIL 250MG OR PLACEBO CAPS ","MYCOIND"
"Dapsone","DAPS25"
"ValGANCIclovir Suspension","VALG450SM"
"Lidocaine ","LIDPF1I"
"Sodium Citrate/Citric Acid","BICINEO"
"Prazosin","PRAZ1"
"Amoxicillin-Clavulanic Acid","AUGMSUSP"
"Syringe (0.9% Sodium Chloride)","SYRNS5ML"
"Epoetin Alfa","EPO4INESRD"
"Cefuroxime Axetil","CEFU250"
"Morphine Sulfate (PF)","ASTR5I"
"ATRIPLA",NULL
"Heparin Flush (1000 units/mL)","HEPA5I"
"Dexamethaso","DEXA2"
"Prednisolone Acetate","PRED1ES"
"Amiodarone","AMIO40L"
"Symbicort",NULL
"Morphine Sulfate (Concentrated Oral Soln)","MORPCONC"
"Aspirin ","ASAB325"
"Calcium Chloride","CALC100SI"
"Phenobarbital Sodium","PHEN130I"
"Alum Potassium","ALUM454"
"Betamethasone Dipro 0.05% Oint","BETA0.05C"
"Oxymorphone HCl","OXYM1I"
"Choline Magnesium Trisalicylate","CHOL500"
"Haloperidol","HALD5I"
"Glucagon","GLUC1I"
"Dornase alfa *NF*","DORN2.5PL"
"Fluocinolone Acetonide 0.01% Cream","SNLR115C"
"CeftriaXONE","CEFX2F"
"Famc","FAMC500"
"roflumilast",NULL
"NEO*PO*Sodium Chloride","NACL234"
"Bisacodyl","BISA10R"
"Ferrous Gluconate","FERRG"
"Lorazepam 2mg syringe","SEPLORA2I"
"Phenytoin Sodium Extended","PHEN50"
"Miconazole Nitrate Vag Cream 2%","MICO745C"
"Lithium Carbonate","LITHOBID"
"D5W (Glass Bottle)","DEXT500B"
"Metoclopramide","METO10L"
"Terconazole 0.4% Vag. Cream","TERC.4C"
"cortrosyn","CORTIND"
"5% Dextrose (EXCEL BAG)","D5W500E"
"Metoprolol","METO5I"
"D7.5W","D7.5W250I"
"Phenytoin Sodium (IV)","DILA100"
"Valproic Acid","DIVA250"
"Ivermectin","INVE3"
"Albumin 25% (12.5gm)","ALBU25"
"Ketorolac Tromethamine","KETO15I"
"Halobetasol Propionate",NULL
"Nicoderm CQ","NICO21P"
"Lactulose","LACT30L"
"HEPARIN","HEPA100SYR"
"olmesartan","OLME20"
"Iron Polysaccharides Complex","NIFR150"
"Artificial Tears Preserv. Free","REFRESH"
"triamterene-hydrochlorothiazid",NULL
"Methylprednisolone","MPRED16"
"Dexameth","DEXA15"
"LESCOL","FLUV20"
"MENINGOcoccal Conj Vaccine (Menomune)","MENI5I"
"NAC",NULL
"Fluocinolone 0.01% Solution","SNLR160T"
"Prednisone",NULL
"Pancuronium Bromide","PANC10I"
"Cinryze (C1 estrase inhibitor)",NULL
"Percocet","ROXIOS"
"Docusate Sodium","PERI"
"Lumigan","LATA5OS"
"Budesonide","BUDE0.5"
"Tenecteplase Study Med (*IND*)","TENEIND"
"sodium Bicar","NABC50I"
"benazepril","BENA5"
"ValGANCIclovir","VALG450SM"
"D12.5W","D12.5W250I"
"sevelame","SEVE400"
"Thioridazine HCl","THIO25"
"letrozole","LETR2.5"
"panto","PANT40"
"Clonidine TTS","CLON2P"
"Fentanyl Citrate","FENT2I"
"Midazolam","MIDA50I"
"Iso-Osmotic Dextrose","FRBD100"
"Budesonide","BUDE3"
"Multivitamin-12","MVI10I"
"Pulmozyme","PULMOZYME"
"rabeprazole",NULL
"Morphine Su","MOR10L"
"Latuda",NULL
"Syringe (Intrathecal)","SYRIT"
"Tolnaftate 1% Cream","TOL1C"
"Pantoprazole","PANT40I"
"Didanos","DIDA100"
"Acetami","ACET325"
"levocar","LCARN330"
"Terbinafine","LAMI250"
"Loratadine","LORA10"
"Vancomycin Desensitization","VANC.0125L"
"cevimeline","CEVI30"
"Kaopectate (bismuth subsalicy)","KAOP228L"
"Ascorbic Acid (Liquid)","ASCO500"
"Phenylephrine 2.5 % Ophth Soln","PHEN25ES"
"Lidocaine Viscous 2%","LIDOVISC"
"char","CHAR120L"
"Cefotetan","CEFOT2I"
"Nefazodone HCl","NEFA150"
"Clopidogrel","CLOP75"
"valganciclovir","VALG50L"
"Pentobarbital Sodium","NEBU1000I"
"linezolid","LINE600"
"Carbamide Peroxide","GLYO65OT"
"Insulin ","INNHI"
"Lorazepam","SEPLORA2I"
"Cladribine","CLAD100I"
"Paliperidone ER","PALI6"
"CycloSPORINE Modified (Neoral)","NEOR100L"
"Sodium Citrate","SODCIT3SYR"
"Tacrolimus Study Med (*IND*)","TACR1IND"
"Advair Diskus","ADVA250IH"
"PHENObarbital","PHENO100"
"LevoFLOXacin","LEVO500PM"
"D5W","MORPD5W"
"Polymyxin B Sulfate","POLYCAP"
"NiCARdipine","NICA20"
"Doc","DOCU100L"
"Atenolol-Chlorthalidone",NULL
"Fentanyl PCA","FEN1250PCA"
"Amantadine Syrup","AMANT50MG"
"Famvir","FAMC500"
"Humulin 70/30","IN73HI"
"Bacitracin","BACI5I"
"Heparin Flush ","HEPA10SYR"
"Xopenex HFA","LEVA0.63L"
"Questran","CHOL4G"
"Haemophilus B Conj. Vaccine","HAEM5I"
"Dexam","DEXA4I"
"Phenylephrine","PHEN50I"
"Metronidazole Gel 0.75%-Vaginal","METRVAG70G"
"Lacosamide","LACO50L"
"Tetanus-Diphtheria Toxoids-Td","TDT5I"
"Bacitracin ","BACIEO"
"Warfarin","WARF10"
"Acetaminop","ACET325"
"Nystatin Oral Susp.","NYST5L"
"Clindamycin","CLIN75L"
"Tegretol XR",NULL
"Fluorouracil","FLUO2500I"
"sodi","NACLFLUSH"
"Humulin","IN73HI"
"Sertraline HCl","SERT100"
"Dabigatran Etexilate","DABI150"
"Advair Diskus","ADVA500/50"
"Didanosine EC","DIDA400"
"Pyridoxine","PYRI100I"
"Quinine Sulfate","QUIN324"
"Verapamil SR","VERA240SR"
"ganciclovir 500 mgor placebo  cap","GANCIND"
"Valproic Acid","VAP500I"
"Pantoprazole Sodium","PANT40I"
"Guaifenesin-CODEINE Phosphate","GGAC5L"
"Digoxin Immune Fab","DXIG40I"
"asp","ASA81"
"Carbamazepine (Extended-Release)","CARB200XR"
"albuter","ALBU17H"
"SODIUM BICARB","NABC50I"
"Vagifem",NULL
"Olmesartan",NULL
"Pneumococcal 7-Valent","PREV.5I"
"Theophylline","THEO80L"
"Prozac","PROZ20"
"Prandin","REPA2"
"Cortisone",NULL
"Artificial Tear Ointment","ARTTS"
"Miralax","MIRA17"
"Latuda","LURA40"
"Milrinone","MILR5I"
"Amiloride HCl","AMIL5"
"Lidocaine 5% Patch","LIDO5T"
"Infliximab","INFL100I"
"Caffeine-Sodium Benzoate","CAFF250I"
"bismuth subsalicy","PEPT240L"
"Oxandrolone","OXAN25"
"mylanta",NULL
"CloniDINE","CLON5I"
"potass","MICROK10"
"Heparin Flush CVL  (100 units/ml)","HEP10I"
"Tacrolimus","TACR0.5BN"
"Avodart *NF* (Dutasteride)",NULL
"Potassium Chloride Replacement (Oncology)","POTA20"
"Syringe (Intrathecal)","SYRIT10"
"BuPROPion (Sustained Release)","BUPR100SR"
"Lansoprazole","LANS30ST"
"Insulin","INUHI"
"Clobetasol Propionate 0.05% Cream","CLOB.05C30"
"Ramipril","RAMI2.5"
"AMPicillin","AMPI500"
"Darvocet-N 100",NULL
"Tucks","TUCKSPADS"
"Aluminum-Magnesium Hydroxide","MAAL30BTL"
"Oxycodone",NULL
"Botox","BOTOX"
"Lorazepam","LORA1L"
"Vancomycin Oral Liquid","VANC500L"
"Metoprolol Tartrate","METO25"
"Ethosuximide","ETHO250"
"Quinidine Gluconate E.R.","QUIG324"
"Lipram-PN16",NULL
"Aminocaproic ","AMIN5L"
"dextr","DEX50SY"
"naltrexone","NALT50"
"Propranolol HCl","PROP60"
"Necon 1/35 (28)",NULL
"*NF BRINZOLAMIDE (AZOPT)",NULL
"Syringe (PCA)","PCASYR"
"Sulfameth/Trimethoprim Suspension","BACTSSSM"
"Activated Charcoal-Sorbitol","CHAR120L"
"Erythromycin","ERYT250"
"Ultram","TRAM50"
"Insulin Human Regular (Dilute)","INSNEO1"
"Zelnorm (tegaserod)",NULL
"SulfaSALAzine EC","SULF500EC"
"Perphenazine","PERP8L"
"Cytarabine","CYTA2I"
"Calcium Carbonate (Tums)","CALC500"
"SW","KCLBASE2"
"Ethanol 70% Catheter Lock","ETHAN70I"
"Neostigmine","NEOSI"
"Rabies Vaccine","RABVAC"
"MYCOPHENOLATE MOFETIL 250MG OR PLACEBO CAPS","MYCOIND"
"L-Hyoscyamine SL","LEVS125"
"ChlorproMAZINE","THOR50"
"Ipratropium Bromide ","IPRAPF"
"Vitamin A","VITA50000I"
"formoterol fumarate",NULL
"zafirlukast","ZAFI20"
"Potassium Chloride","POTA10PM"
"Heparin Lock Flush","HEPAR10I"
"Multivitamin","MVI10I"
"Bystolic",NULL
"Morphine ","MSCO30"
"Urelle",NULL
"*NF* Sunitinib","SUNI25"
"Fluvoxamine Maleate","FLUV50"
"Potassium Chloride Replacement (Oncology)","KCL20P"
"Aspirin Desensitization (Angioedema)","ASAEC325"
"Alteplase Recombinant","ALTE20I"
"CycloSPORINE Modified (Neoral)","NEOR25"
"Busulfan","BUSU60I"
"Galantamine Hydrobromide","GALA4"
"Morphine Sulfa","MORPCONC"
"modafinil","MODA100"
"Theo Liquid",NULL
"Fentanyl Citrate","F2B1ED"
"betamethasone","BETAVAL.1/45C"
"Midrin","MIDRIN"
"Aminocapr","AMIN5"
"Epsom Salt","EPSOM"
"Trifluoperazine HCl","TRIF2"
"Minocycline","MINO50"
"nabumetone","NABU500"
"Ascorbic Acid","ASCO500"
"bude0.25",NULL
"Vemurafenib (RO5185426)",NULL
"AcetaZOLamide","ACE500I"
"Vancomycin HCl","VANC500I"
"morph","MOR10L"
"Albumin 25% (12.5g / 50mL)","ALBU25100I"
"Dextran 40 10% in NS","DEXT500I"
"Thioridazine","THIO25"
"Sterile Water","MGBASE500I"
"Levalbuterol HCl (Bulk)","LEVA0.63L"
"Lactulose","LACT1000R"
"Vera","VERA240SR"
"Aripiprazole","ARIP15"
"DEX","DEX50SY"
"Multaq",NULL
"Quetiapine Fumarate","QUET6.25QT"
"NEO*IV*Amphotericin B","NAMP50N"
"octreotide LAR 10mg depot",NULL
"Carnitor","LCARN330"
"Emtricitabine-Tenofovir (Truvada)","TRUV200/300"
"NAC (N-acetyl-L-cysteine",NULL
"Dexamet","DEXA2"
"M","MULT5L"
"Lithium Carbonate CR","LITH450SA"
"Cefazolin","CEFA1I"
"asp","ASA300R"
"Bupivacaine 0.2%","BUPI0.2EPD"
"Nitroglycerin","NITR20SYR"
"Amikacin Inhalation","AMIKINH"
"Guaifenesin DM table",NULL
"Metronidazole","METR500I"
"Candesartan Cilexetil","CAND16"
"Morphine Sulfate","MORP4-8"
"Cefepime","CEFE1000I"
"Nystatin Oral","NYST60LSM"
"Molindone",NULL
"Isosorbi","ISOS20"
"Aspirin EC","ASA81EC"
"Glatiramer","GLAT20I"
"acet","ACET100L"
"Atropine Sulfate 1% Ophth Ointment","ATR1EO"
"Fleet ","FPS45L"
"*NF* Nafcillin Sodium","NAFC2F"
"*NF* Cefotaxime","CETX2I"
"Fat Emulsion 10%","INTR10/250I"
"Haloperidol","HALO10"
"Etomidate","ETOM2I"
"Azor",NULL
"Peridex","PERI12L"
"ACETAMINOPHEN (RECTAL)","ACET650R"
"SUTENT",NULL
"Prilosec","OMEP40"
"Potassium Acetate","KASE40I"
"Nys","NYST5L"
"Famotidine","FAMOT20I"
"Paroxetine HCl","PARO12.5CR"
"Aspirin Desensitization (AERD)","ASA81"
"Heparin CRRT","HEPA30I"
"CISplatin","CISP50IV"
"Bimatoprost","BIMA.03E"
"Nelarabine (NF)","NAVA250I"
"Heparin (CRRT Machine Priming)","HEPA5I"
"Flucytosine","FLUC500"
"Lidocaine 1%","LIDO1/50I"
"LeVETiracetam","LEVE100L"
"dextrose 20 %",NULL
"Xylocaine","LIDO1I"
"Vytorin 10-40",NULL
"Chlorpheniramine Maleate","CHLO4"
"Morphine Sulfate","MORP250I"
"Soln.","FOSCARBASE"
"Sodium Acetate","NAAC100I"
"Colazal",NULL
"triazolam","TRI125"
"NEO*IV*CefazoLIN","CEFANEO"
"Albuterol","ALBU17H"
"Clindamycin Hcl","CLIN150"
"Celexa",NULL
"Ritonavir (Oral Solution)","RITO100"
"Tacrolimus","TACRSUSP"
"Nortriptyline","NORT10"
"Inderal LA",NULL
"Proventil",NULL
"Furosemide (Elixir)","FURO40L"
"Clindamycin Solution","CLIN300L"
"Colchicine","COLC5"
"D5W","LINEBASE"
"Mesalamine Desensitization","MESADESEN6"
"Darbepoetin alpha (Aranesp)",NULL
"*NF* Temozolomide","TEMO100"
"Esomeprazole Magnesium","ESOM20"
"Heparin Sodium","HEPPREMIX"
"Morphine Sulfate (4-8mg)","MORP4-8"
"Trivora (28)",NULL
"Leucovorin Calcium","LEUC100I"
"baclofen",NULL
"calc","CAL1250"
"Lacosamide","LACO200"
"Octreotide Acetate","OCTR100I"
"Imatinib ","IMAT400L"
"Nitazoxanide","NITA500"
"Bumetanide","SYRG1"
"Oxycodone","OXYC10"
"Venlafaxine XR","VENL75XR"
"Erythromycin 0.5% Ophth Oint","ERYT0.5EO"
"Syringe","SYRINGEIND"
"bactrim","BACTSS"
"Sulfazine EC","SULF500EC"
"*NF* Cefoxitin Sodium","MEFOX1I"
"Fluconazole","FLUC400L"
"Chlorothiazide Sodium","CHL500PB"
"Nicot","NIAC500SR"
"Cyanocobalamin","CYAN1I"
"Disopyramide Phosphate","DISO100CR"
"Ipratropium ","IPRA2H"
"Methylprednisolone","MPRED40I"
"Midodrine HCl","MIDO25"
"felbamate","FELB400"
"Digoxin","DIGO25"
"Calcium Chloride","CALC100I"
"Thymoglobulin (IND)","THYM25IND"
"Valproic Acid","DIVA125"
"*NF* Tobramycin Soln","TOBR300H"
"Clopidogrel Desensitization","CLOP01L"
"Sirolimus","SIRO0"
"heparin","HEP10I"
"Morphine Sulfate","MORPITPACU"
"Abilify","ARIP10"
"Epinephrine HCl","EPIS10I"
"Metolazone","METL5"
"Fluconazole","FLUC200SYR"
"Daclizumab","DACL25I"
"Allopurinol","ALLO100"
"Hydromorphone-hp","DILHP50I"
"Calcium Carbonate","CALC500"
"Code ATS99 Study Med",NULL
"Loperamide Oral Solution","NEOLOPE2L"
"GLARGINE","GLAR100I"
"MENINGOcoccal Poly Vaccine (Menomune)","MENI5I"
"5% Dextrose","CIPROBASE"
"OxycoDONE ","OXYCO5L"
"Soln.","PANCSOLN"
"Epinephrine ","EPIPEN0.3I"
"Fentanyl Citrate","FENT2.5250"
"Imipramine HCl","IMIP10"
"Cortroyson","CORTIND"
"0.9% Sodium Chloride","NS100H"
"Desmopressin Nasal","DDAV1N"
"Cephalexin Desensitization","CEPHDESEN1/10L"
"Triamcinolone Acetonide 0.1% Ointment","TRIA0.1/80O"
"Emtricitabine Oral Solution","EMTR200"
"SW","SW50"
"Interferon Alfa 2A","ROFE3I"
"CVVH",NULL
"Aptivus",NULL
"Paromomycin Sulfate","PARO250"
"Preparation H Maximum Strength",NULL
"Tricor","FENO160"
"Efavirenz","EFAV600"
"Wellbutrin","BUPR100SR"
"Dicyclomine","DICL10"
"Erlotinib (Tarceva)",NULL
"Pneumococcal Vac Polyvalent","PNEU25I"
"famciclovir","FAMC500"
"Lidocaine 0.5%","LIDO0550I"
"Sodium Chloride 3% (Hypertonic)",NULL
"Temsirolimus","TEMS25I"
"Ondansetron","ONDA4I"
"*NF* Imatinib Mesylate","IMAT400"
"Esmolol","ESMO2PM"
"metoCLOPramide","METO10I"
"Tacrolimus","TACR5"
"doxycy","DOXY100C"
"Gemtuzumab Ozogamicin","GEMT5I"
"Levsin","HYOS.375"
"Pramoxine HCl","ANUS1O"
"NEO*PO*MCT Oil","MCT4L"
"Divalproex","DIVA500"
"Hydromorphone Hcl","HYDM4"
"multivitamin","MULT5L"
"Gentamicin Sulfate","GENT80I"
"panc","PANC5000"
"Zetia","EZET10"
"Phenyto","PHEN50"
"Xalatan","LATA5OS"
"Bumetanide","BUME05"
"Docu","DOCU100L"
"Colestipol","COLE1"
"ocean","SODI65S"
"Neutra-Phos","PHOS250"
"Spiriva with HandiHaler","TIOT"
"Naloxone","NALO4ILF"
"Prednisolone",NULL
"Albumin","ALBU25"
"Phenylephrine  0.05% Nasal Spray","PHEN5N"
"Cisplatin","CISP50I"
"GlipiZIDE","GLIP10"
"Metoprolol","TOPR100"
"Valacyclovir HCl","VALA500"
"Daily Vitamin",NULL
"Pilocarpine 1%",NULL
"Betoptic S","BETA25ES"
"Sotalol AF","SOTA80"
"colesevelam","COLE625"
"Multivitamins w/Minerals","MVITH"
"Bevacizumab","BEVA400I"
"Esmolol","ESMO25I"
"Mycophenolate Mofetil","MYCO250IND"
"potassiu","KCL20P"
"Nifedipine CR","ADAL90"
"aspi","ASA81"
"Bupivacain","BUPI5I"
"Midazolam","MIDA5050"
"Lidocaine Viscous","LIDOVISC"
"Tizanidine HCl","TIZA4"
"MetFORMIN (Glucophage)","METF850"
"Selegiline HCl","SELE5"
"axitinib",NULL
"Bag","BAG3000mL"
"Betaxolol HCl",NULL
"Mometasone",NULL
"Azmacort","AZMA20H"
"Theophylline (Oral Solution)","THEO100LQ"
"Glyburide","GLYB5"
"Bumetanide","BUME1"
"NIFEdipine CR","ADAL90"
"Morphine Sulfate","MORP500I"
"darifenacin",NULL
"Miconazole Nitrate (Dual-pak)","MICODP"
"Quinapril","QUIN10"
"Molindone HCl","MOLI5"
"Meningococcal Vaccine","MENI5I"
"cisatracurium","CISA10I"
"Citalopram ","CITA20"
"Heparin CRRT","HEPF100I"
"Albuterol Inhaler (ProAir)","PROAIR8.5H"
"Morphine Sulfate","MORP2IV"
"Calcium Carbonate Suspension","CAL1250"
"tri","TRIA25"
"Isoproterenol HCl","ISOP1I"
"Acetaminophen (Liquid)","ACET325"
"MAGNESIUM SULFATE","MAGS1I"
"PRILOSEC","OMEP40"
"Tretinoin (ATRA-All Transretinoic Acid)","TRET40L"
"Milk Of Magnesia","MOM30L"
"NEO*PO*Propranolol","NEOPROP4"
"alora","ESTR5P"
"Fentanyl Citrate","FENT50I"
"Miconazole Nitrate 2% Vaginal Cream","MONI7C"
"Felbatol","FELB400"
"Zofran ODT","ONDA4ODT"
"Montelukast","MONT10"
"Lidocaine 0.5% Mpf","LIDO550I"
"etanercept","ENBR25I"
"Lidocaine 2% P.f.","LIDO210I"
"Betamethasone Sodium Phos/Acet","BETA12S"
"Homat","HOMA5ES"
"Rifampin","RIFA600I"
"Morphine Sulfate","MORP2-10"
"Pulmicort","BUDE0.25"
"Lanthanum","LANT250"
"Sulfameth/Trimet","BACTDS"
"Potassium Chl 20 mEq / 1000 mL D5NS","KCL20/1000D5NS"
"CycloSPORINE (Neoral) MODIFIED","NEOR25"
"dorzolamide-timolol","COSO10O"
"Trihexyphenidyl HCl","TRIH2"
"PredniSONE","PRED20"
"Nivea Skin",NULL
"sevelamer CARBONATE","RENV800"
"Aromasin (exemestane)",NULL
"Tetanus-Diphtheria Tox (DECAVAC)","DT.5I"
"*NF* Paroxetine CR","PARO25CR"
"Ampicillin","AMPI250L"
"Multiv","MULT5L"
"Levbid",NULL
"Levetiracetam","LEVE250T"
"Privigen","PRIV5I"
"Pegasys","PEGI180I"
"gabapentin","GABA100"
"Quinidine Sulfate","QUIN300"
"Fleet enema",NULL
"Lidocaine 2%","LIDO220I"
"Benazepril","BENA20"
"Travoprost",NULL
"Pantoprazole","PANT40SM"
"Ipratropium Bromide MDI","IPRAPF"
"Phenobarbital","PHENO100"
"multiv","MULT5L"
"Gentamicin","GENT120FD"
"Centrum",NULL
"Carbamazepine Suspension","CARB100T"
"levsin","LEVS125"
"Insulin","INSULINCARB"
"Fentanyl","FENT100P"
"Calcium Gluconate Replacement (Critical Care and Oncology)","CALG1I"
"valgan","VALGA450"
"Sildenafil Citrate",NULL
"Syringe (Neonatal)  *D12.5W*","NEOSYRD12.5W"
"Ciprofloxacin","CIPRO400I"
"Fleet Enema","FLEETEN"
"OLANZapine (Disintegrating Tablet)","OLAN5DTB"
"Nexium 40mg capsules",NULL
"Insulin Detemir",NULL
"NEO*PO*Chloral Hydrate","NEOCHLO"
"Isosorbide Dinitrate SA","ISOS40SA"
"Lanthanum","LANT500"
"Loestrin 1.5/30 (21)",NULL
"Dexamethas","DEXA4"
"Bupropion SR","BUPR150"
"Sunol-cH36 Study Drug (*IND*)","SUNOLIND"
"Sodium Chloride",NULL
"Vancomycin Desensitization","VANC.000125L"
"Creon 10","CREO10"
"dila","PHENY100L"
"Iloperidone","ILOP6"
"Lidocaine ","LIDO0550I"
"Dexamethasone","DEXA10I"
"Fluorescein","FLUO500I"
"Tilarginine or Placebo *IND*","TILAIND"
"Clonidine Patch 0.2 mg/24 hr","CLON2P"
"Cyclobenzaprine HCl","CYCL10"
"Candida Albicans","CANDIDA"
"mucin","GUAI600T"
"Streptokinase",NULL
"Arava","LEFL20"
"Lamivudine-Zidovudine (Combivir)","COMBTAB"
"Albuterol Sulfate","ALBU5H"
"Senna","SENOKOTS"
"MENINGOcoccal Conj Vaccine (Menomune)",NULL
"metoLAZOne","METL25"
"Gatifloxacin",NULL
"Tromethamine","THAM500I"
"Rhinocort Aqua","RHINOC"
"Ranexa",NULL
"Multiple Vitamins Liq.","MVI"
"Morphine Sulfate (2-4mg)","MORP2-4"
"Vancomycin Antibiotic Lock","VANC12.5I"
"albumin","ALBU5250"
"CycloSPORINE Modified (Neoral)","NEOR100"
"Somatropin",NULL
"Octreotide Acetate",NULL
"Topiramate (Topamax)","TOPI100"
"Fluphenazine","FLUP5"
"Magnesium Sulfate","MAGMEQV"
"Perphenazine","PERP4"
"Cefpodoxime Proxetil","CEFP200"
"Olopatadine HCl","OLOP.1ES"
"PENTASA","PENT250"
"TISSEEL vs. FS VH SD","GLUEIND"
"Heparin CRRT","HEP10I"
"Sirolimus","SIRO0.5L"
"Albumin 5% (25g / 500mL)","ALBU25"
"Artificial Tears","REFRESH"
"nif","ADAL60"
"Ramipril","RAMI5"
"NEO*IV*Levothyroxine","NEOLEVO"
"SODIUM BICARBONATE","NABC50S"
"*NF* Levocarnitine","LEVO1000I"
"AMOXicillin Oral Susp.","AMOX125L"
"Bengay","BENGAY2O"
"Heparin Flush Port (10 units/mL)","HEP1I"
"Valproic acid (Depakene brand)","VAL250L"
"rasagiline","RASA0.5"
"Vancomycin HCl","VANC1F"
"Valsartan","VALS160"
"guai","GUAI600T"
"Divalproex Sodium","DIVA250ER"
"Docusate Sodium-Casanthranol","PERI"
"sodium bica","NABC50I"
"NEO*IV*PHENObarbital","PB30EL"
"CeftAZIDime","CEF2I"
"Silibinin (*IND*)","MILKTH350I"
"Atropine Sulfate","ATROP1I"
"Magnesium Sulfate Replacement (Oncology)","MAGS1I"
"Risperidone","RISPM1"
"Emtricitabine","EMTR10L"
"NIFEdipine","ADAL30"
"Syringe (Intraventricular)","SYRIVT"
"MetronidAZOLE Oral Suspension","METR1000L"
"Oxycodone (Sustained Release)","OXYC40"
"Risperidone","RISP1L"
"Multivitamins","MVITH"
"Dorzolamide 2% Ophth. Soln.","TRUS2S"
"Sulfamet","BACTDS"
"Accolate","ZAFI20"
"Fluphenazine","FLUP25"
"Epoetin Alfa","EPO40I"
"Dronabinol","DRON10"
"Potassium Chl 20 mEq / 1000 mL D5 1/2 NS","KCL20/1000D51/2NS"
"Lidocaine 5% Ointment","LIDO5O3.5"
"Cyanocobalamin","CYAN500"
"NEO*IV*CeftazIDIME","NCEFZIV"
"Pentamidine Isethionate","PENT300I"
"Derma-Smoothe/FS Scalp Oil","FLUO0.01"
"Amantadine Syrup","AMAN100L"
"Baclofen",NULL
"Avandamet",NULL
"NEO*IV*Epoetin Alfa","NEOEOP4I"
"Lithium ","LITHI300L"
"adder","ADDE5XR"
"Heparin ","HEP1I"
"Zaditor (Ketotifen fumarate)",NULL
"Morphine Sulfate","MOR10L"
"TraMADOL (Ultram)","TRAM50"
"sevelamer HYDROCHLORIDE","SEVE800"
"Insulin","INRHI"
"Humulin R","INRHI"
"Quetiapine Fumarate","QUET50"
"Hydroxyzine HCl",NULL
"Carbidopa-Levodopa","SINM25100"
"Dasatanib (Sprycel) **CHEMO**",NULL
"Clindamycin","CLIN150"
"Insulin Glargine","GLAR100I"
"Atropine Sulfate","ATRO1I"
"Chlordiazepoxide HCl","CHLOR5"
"Bethanechol","BETH5"
"Talc","TALC5"
"Adefovir Dipivoxil","ADEF10"
"Prozac Brand Name",NULL
"Chloral Hydrate (Syrup)","CHLO500L"
"Acidophilus-B.bifidum-B.longum",NULL
"Pimecrolimus",NULL
"Bactrim Desensitization","BACTDES6"
"Docus","DOCU100"
"Methylprednisolone Na Succ.","MPREDSYR"
"tol","TOLT2"
"Aminocaproic Acid ","AMIC250L"
"dexamethasone",NULL
"Tyvaso",NULL
"HYDROMORPHONE","HYDR2I"
"Paroxetine","PARO25CR"
"Quinapril","QUIN20"
"Pindolol","PIND5"
"DiphenhydrAMINE HCl","DIPH50I"
"Cortroysn ","CORTIND"
"Ergocalciferol (Vitamin D2)",NULL
